team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination,pn_guidance_frames,pn_nonzero_command_frames,maximum_command_g
blue,blue_2,red_2,m2,166,1987,3186.218196507944,0.7403887433412925,42.42115019245079,2.4360419004709555,139.5749196140139,3186.218196507944,3095.297260271505,-755.7256554557689,303.9835910595625,262.1887783480414,11.611931494416062,4426.982300883195,3671.2566454274265,True,overshoot,miss,False,5.799999999999985,166,195,29,True,348,348,30.000000000000007
blue,blue_0,red_0,m3,168,2014,3092.3059179458755,0.7127068007656364,40.835091714142195,2.2529488877538926,129.0844627269911,3092.3059179458755,3060.1776284793323,-444.5995640097899,286.7645178898196,285.0562854196364,22.161172342646132,5104.639810006839,4660.040245997049,True,hit,hit,True,5.599999999999985,168,196,28,False,335,335,30.000000000000004
blue,blue_1,red_1,m4,177,2120,2872.169812090716,0.7620833835767903,43.66416151599952,2.2656998233086094,129.81503751911967,2872.169812090716,2824.049280365633,-523.5504670531454,295.6375614946254,249.5767648883437,41.50189582864453,4363.556225738264,3840.005758685119,True,overshoot,miss,False,5.916666666666651,177,207,30,True,355,355,30.000000000000007
blue,blue_1,red_2,m3,103,1235,2923.093057634588,0.7593966052215358,43.51022045575634,2.8947689768783524,165.85804504053297,2923.093057634588,2813.035329231302,-794.5472044429243,299.01255052774815,271.7488587573233,-82.81733693751588,5809.230413750578,5014.683209307654,True,hit,hit,True,6.033333333333317,103,133,30,False,361,361,30.000000000000007
blue,blue_1,red_1,m5,207,2475,2764.298867781508,0.4696516235941063,26.909055873409045,2.828006877324928,162.03285850468953,2764.298867781508,2723.4980666831357,-473.18760676009697,291.61245104122696,275.65675034889284,-4.769858678400701,3814.767760691743,3341.5801539316462,True,hit,hit,True,5.3833333333333195,207,234,27,False,322,322,30.000000000000007
blue,blue_2,red_1,m1,88,1049,2045.2293730098263,0.20612668390743683,11.810189032923315,1.6256708777245379,93.14408017094414,2045.2293730098263,1992.9768058088664,459.35459040925616,291.145202577705,229.43739974567137,262.7672106151309,6000.408492760785,6459.763083170041,True,hit,hit,True,2.8166666666666615,88,102,14,False,168,168,30.000000000000007
blue,blue_0,red_0,m0,82,973,2002.389281520623,0.4736327942813331,27.13716015130834,1.5760079726171554,90.29860530993243,2002.389281520623,1987.6790969263973,242.26977192901813,300.79407166846124,232.1600919806669,264.8092471619116,5853.51463380865,6095.784405737668,True,overshoot,miss,False,4.133333333333324,82,102,20,True,248,248,30.000000000000007
red,red_0,blue_2,m2,97,1164,287.3070684320013,0.6361516505105907,36.44880470453821,1.5783442666258374,90.4324650963316,287.3070684320013,271.2394250311128,-94.73397426362953,229.70450827030186,292.6436564173439,226.5370273874826,6210.244656919112,6115.510682655482,True,overshoot,miss,False,1.0000000000000013,97,102,5,True,60,60,30.000000000000004
blue,blue_2,red_1,m0,88,1053,1592.9146635920624,0.091005887829153,5.214253283451453,1.5720908037751204,90.07416806764367,1592.9146635920624,1592.673305720296,-27.72844627090035,296.1150680920012,241.9424377298543,302.3985103580636,5793.950330799455,5766.221884528554,True,hit,hit,True,2.033333333333331,88,98,10,False,121,121,30.000000000000007
blue,blue_0,red_0,m1,89,1058,1768.7850853436687,0.6810901218635823,39.02358945083418,1.5727112948122262,90.10971958529552,1768.7850853436687,1600.0756890935054,753.8955281112585,295.8401152750798,230.6056294184092,192.8919898128317,5858.605038567613,6612.500566678871,True,overshoot,miss,False,3.183333333333327,89,104,15,True,191,191,30.000000000000007
